model_family,architecture,seed,lambda_shortfall,T,rho_scale,split,model_name,n,rmse_vs_realised,rmse_vs_true,mae_vs_true,bias_vs_true,mean_regret,median_regret,mean_regret_vs_bayes,mean_regret_irreducible,mean_utility,shortfall_bind_share
pto,persistence,45,10.0,500,0.1,main,persistence,150,0.003498124937001,0.0024688343979052,0.0018379897007768,7.817014876074899e-05,0.3028314672480279,0.011103507035194,0.3015190491446841,0.0013124181033438,0.7785362897203844,0.4533333333333333
pto,persistence_ma4,45,10.0,500,0.1,main,persistence_ma4,150,0.0030282021584919,0.0019442291032882,0.0014275866443816,3.504748447931192e-05,0.1875068079853078,0.0096240629386878,0.1861943898819639,0.0013124181033438,0.8938609489831048,0.4466666666666666
blackbox,linear,45,10.0,500,0.1,main,blackbox_linear,150,,,,,0.020711167092788,0.0087698574546415,0.0193987489894442,0.0013124181033438,1.0606565898756244,0.0333333333333333
blackbox,mlp,45,10.0,500,0.1,main,blackbox_mlp,150,,,,,0.0109487072327892,0.0081384811183746,0.0096362891294454,0.0013124181033438,1.0704190497356232,0.0133333333333333
dfl,linear,45,10.0,500,0.1,main,dfl_linear,150,0.0076087182899029,0.0074046163830764,0.0047614068914095,0.0046677248308822,0.0143236219540682,0.0085180329282458,0.0130112038507243,0.0013124181033438,1.067044135014344,0.0266666666666666
dfl,linear,44,10.0,1000,0.03,main,dfl_linear,300,0.0084285264753908,0.0082923526529914,0.0050756970573779,0.005031516167472,0.0159542351228934,0.0119268310468603,0.0153489556174805,0.0006052795054129,1.072860834139074,0.0166666666666666
dfl,mlp,45,10.0,500,0.1,main,dfl_mlp,150,0.0038709530432797,0.0033476231325005,0.0028347995793427,0.0027707689635842,0.0102009833046168,0.0073231922722601,0.0088885652012729,0.0013124181033438,1.0711667736637955,0.02
pto,linear,45,10.0,500,0.25,main,linear,150,0.0040119781194205,0.0019313165148283,0.0013993500806283,-0.0007656428477029,0.1695262417714583,0.0075015230080595,0.1670400554006291,0.0024861863708291,0.9118176306960948,0.4133333333333333
pto,mlp,45,10.0,500,0.25,main,mlp,150,0.0038272443162768,0.0015181089730591,0.001139288122204,-0.0004560862725213,0.1076067886668103,0.0048545095062025,0.1051206022959811,0.0024861863708291,0.9737370838007428,0.32
pto,persistence,45,10.0,500,0.25,main,persistence,150,0.0054845184188605,0.0037224948339394,0.0026642380933589,0.0001136987656897,0.5349458136285747,0.0192647058754404,0.5324596272577455,0.0024861863708291,0.5463980588389785,0.4866666666666667
pto,persistence_ma4,45,10.0,500,0.25,main,persistence_ma4,150,0.0043371723567569,0.0023489464619617,0.0017311894250383,6.582841446096527e-05,0.2312863977254787,0.0108972217267113,0.2288002113546495,0.0024861863708291,0.8500574747420744,0.42
blackbox,linear,45,10.0,500,0.25,main,blackbox_linear,150,,,,,0.019817721200112,0.0088331307293323,0.0173315348292828,0.0024861863708291,1.0615261512674412,0.0333333333333333
blackbox,mlp,45,10.0,500,0.25,main,blackbox_mlp,150,,,,,0.0105736675278557,0.0085684752762007,0.0080874811570265,0.0024861863708291,1.0707702049396974,0.0133333333333333
dfl,linear,45,10.0,500,0.25,main,dfl_linear,150,0.0069220141776455,0.006084967014357,0.00404065638431,0.0039034226525962,0.0135244195449383,0.0098079460521478,0.0110382331741091,0.0024861863708291,1.067819452922615,0.02
dfl,mlp,45,10.0,500,0.25,main,dfl_mlp,150,0.0041067347144914,0.0023751651362161,0.0020296223709065,0.0018773437483934,0.0081912484890948,0.0068869949870834,0.0057050621182656,0.0024861863708291,1.0731526239784583,0.0066666666666666
pto,linear,45,10.0,500,0.5,main,linear,150,0.0054520873392322,0.0019563536085225,0.0014203031027709,-0.0007577190248529,0.1097358246691683,0.006211402989973,0.1054915681280798,0.0042442565410884,0.971653509593446,0.2933333333333333
pto,mlp,45,10.0,500,0.5,main,mlp,150,0.0053820918880734,0.0015793319823343,0.0011882822364289,-0.0004663165722275,0.0606113866431786,0.0057526549954537,0.0563671301020902,0.0042442565410884,1.0207779476194354,0.2266666666666666
pto,persistence,45,10.0,500,0.5,main,persistence,150,0.0079124485849187,0.0052933542135488,0.0036296650139137,0.0001344349412961,0.921296437835745,0.0496974116143031,0.9170521812946566,0.0042442565410884,0.1600928964268692,0.5133333333333333
pto,persistence_ma4,45,10.0,500,0.5,main,persistence_ma4,150,0.0060158395564207,0.0029611473527572,0.0021777072716384,8.259996448066802e-05,0.328723145797598,0.0133162848184551,0.3244788892565096,0.0042442565410884,0.7526661884650161,0.42
blackbox,linear,45,10.0,500,0.5,main,blackbox_linear,150,,,,,0.0199466547853954,0.0095624612843897,0.0157023982443069,0.0042442565410884,1.0614426794772187,0.0266666666666666
blackbox,mlp,45,10.0,500,0.5,main,blackbox_mlp,150,,,,,0.0114696546073952,0.0092491300804551,0.0072253980663068,0.0042442565410884,1.069919679655219,0.02
dfl,linear,45,10.0,500,0.5,main,dfl_linear,150,0.0070781782368978,0.0049658121370449,0.0034121895349979,0.0031821374033344,0.0119044236142424,0.0106755807362793,0.0076601670731539,0.0042442565410884,1.069484910648372,0.0133333333333333
dfl,mlp,45,10.0,500,0.5,main,dfl_mlp,150,0.0054499022799141,0.0020144829116991,0.0016895731799641,0.0013398559731508,0.0090255343014669,0.0076983180018216,0.0047812777603784,0.0042442565410884,1.0723637999611473,0.0066666666666666
pto,linear,46,10.0,500,0.1,main,linear,150,0.0016349274911398,0.0011212010861275,0.0007680721595091,0.0001037913252369,0.1023174185998496,0.0072863189875796,0.1011953381761781,0.0011220804236715,0.9991355921023204,0.3
