time,model,true_stress_probability,predicted_stress_probability
2121-07-01,prob_diag_linear,0.2061416889290108,0.20614149805081966
2121-10-01,prob_diag_linear,0.5794551495854483,0.5794553986506323
2122-01-01,prob_diag_linear,0.3305954192071255,0.3305952357165565
2122-04-01,prob_diag_linear,0.5470397363620714,0.5470399014343023
2122-07-01,prob_diag_linear,0.2105625591479136,0.21056232371819034
2122-10-01,prob_diag_linear,0.2158698094338532,0.21586958368108217
2123-01-01,prob_diag_linear,0.0266440270958786,0.026644621028426293
2123-04-01,prob_diag_linear,0.2355956910432975,0.23559543565478971
2123-07-01,prob_diag_linear,0.6030306559265035,0.6030308945223778
2123-10-01,prob_diag_linear,0.5457806217625779,0.5457807775015086
2124-01-01,prob_diag_linear,0.2973328437161262,0.2973326215245839
2124-04-01,prob_diag_linear,0.3484271426958515,0.3484269668432624
2124-07-01,prob_diag_linear,0.3247891433216655,0.3247889283320604
2124-10-01,prob_diag_linear,0.23073020514493,0.23072995484567324
2087-07-01,prob_diag_mlp,0.3711056218424092,0.3688204440761661
2087-10-01,prob_diag_mlp,0.1255049044923561,0.12102016861253302
2088-01-01,prob_diag_mlp,0.6227316564038766,0.6295027729274499
2088-04-01,prob_diag_mlp,0.577191532497923,0.58437375964236
2088-07-01,prob_diag_mlp,0.5980686345615559,0.605952066838994
2088-10-01,prob_diag_mlp,0.408193930286362,0.4073410222925458
2089-01-01,prob_diag_mlp,0.3494842576794536,0.34783856733467444
2089-04-01,prob_diag_mlp,0.6625743103733209,0.6707362114400729
2089-07-01,prob_diag_mlp,0.3316717484294871,0.32765763567721273
2089-10-01,prob_diag_mlp,0.1391692238972262,0.1346092610894646
2090-01-01,prob_diag_mlp,0.7203814067117954,0.722751287012264
2090-04-01,prob_diag_mlp,0.6870562492905605,0.6913797851815644
2090-07-01,prob_diag_mlp,0.6227797774765609,0.6306962252387966
2090-10-01,prob_diag_mlp,0.2303018441253741,0.2290643555807779
2091-01-01,prob_diag_mlp,0.1752665720156663,0.17231852153867835
2091-04-01,prob_diag_mlp,0.3194311647530384,0.31352008375737106
2091-07-01,prob_diag_mlp,0.5669841697459996,0.5731062983783607
2091-10-01,prob_diag_mlp,0.7053796487209866,0.6970727640612772
2092-01-01,prob_diag_mlp,0.7448739048079982,0.7324383738782815
2092-04-01,prob_diag_mlp,0.4047335189338678,0.4104765299571252
2092-07-01,prob_diag_mlp,0.190619231205563,0.19723036097385618
2092-10-01,prob_diag_mlp,0.5145856758927825,0.5222192775328399
2093-01-01,prob_diag_mlp,0.391838934239769,0.3937819374192284
2093-04-01,prob_diag_mlp,0.6237993609909843,0.6303519000347722
2093-07-01,prob_diag_mlp,0.3069026810197787,0.3033437236378694
